DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/02/2023,01:00,7RNCHSLR_ALL, 31.97,N
12/02/2023,01:00,AEEC, 26.16,N
12/02/2023,01:00,AGUAYO_UNIT1, 30.43,N
12/02/2023,01:00,AJAXWIND_RN, 26.05,N
12/02/2023,01:00,ALGOD_ALL_RN, 32.99,N
12/02/2023,01:00,ALVIN_RN, 30.68,N
12/02/2023,01:00,AMADEUS_ALL, 25.16,N
12/02/2023,01:00,AMISTAD_ALL, 71.01,N
12/02/2023,01:00,AMOCOOIL_CC1, 30.62,N
12/02/2023,01:00,AMOCOOIL_CC2, 30.62,N
12/02/2023,01:00,AMOCO_PUN1, 30.62,N
12/02/2023,01:00,AMOCO_PUN2, 30.62,N
12/02/2023,01:00,AMO_AMOCO_1, 30.62,N
12/02/2023,01:00,AMO_AMOCO_2, 30.62,N
12/02/2023,01:00,AMO_AMOCO_5, 30.62,N
12/02/2023,01:00,AMO_AMOCO_G1, 30.62,N
12/02/2023,01:00,AMO_AMOCO_G2, 30.62,N
12/02/2023,01:00,AMO_AMOCO_G3, 30.62,N
12/02/2023,01:00,AMO_AMOCO_S1, 30.62,N
12/02/2023,01:00,AMO_AMOCO_S2, 30.62,N
12/02/2023,01:00,ANACACHO_ANA, 55.35,N
12/02/2023,01:00,ANCHOR_ALL, 26.37,N
12/02/2023,01:00,ANDMDSLR_ALL, 24.98,N
12/02/2023,01:00,ANG_ALL, 39.85,N
12/02/2023,01:00,ANSON1_ALL, 24.23,N
12/02/2023,01:00,APPALOSA_ALL, 127.08,N
12/02/2023,01:00,AQUI_ALL, 28.33,N
12/02/2023,01:00,ARAGORN_RN, 89.55,N
12/02/2023,01:00,ASTRA_RN, 25.86,N
12/02/2023,01:00,ATK_ATKINSG7, 29.45,N
12/02/2023,01:00,AUSTPL_ALL, 32.11,N
12/02/2023,01:00,AVIAT_ALL, 49.99,N
12/02/2023,01:00,AZURE_RN, 25.5,N
12/02/2023,01:00,AZ_ALL, 29.88,N
12/02/2023,01:00,BAC_RN_ALL, 30.58,N
12/02/2023,01:00,BAFFIN_ALL, 33.17,N
12/02/2023,01:00,BAIRDWND_ALL, 25.71,N
12/02/2023,01:00,BARROW_ALL, 93.93,N
12/02/2023,01:00,BASTEN_CC1, 32,N
12/02/2023,01:00,BASTEN_CCU, 32,N
12/02/2023,01:00,BATCAVE_RN, 33.53,N
12/02/2023,01:00,BAYC_BESS_RN, 31.8,N
12/02/2023,01:00,BBREEZE_1_2, 33.32,N
12/02/2023,01:00,BCATWD_WD_1, 26.43,N
12/02/2023,01:00,BCH_RN, 30.86,N
12/02/2023,01:00,BCK_RN, 30.85,N
12/02/2023,01:00,BIGSTAR_ALL, 32.07,N
12/02/2023,01:00,BLACKJAK_RN, 32.96,N
12/02/2023,01:00,BLSMT1_5_A_6, 25.92,N
12/02/2023,01:00,BLUEJAY_RN, 29.42,N
12/02/2023,01:00,BOARDCRK_ALL, 28.18,N
12/02/2023,01:00,BOOTLEG_UN1, 92.19,N
12/02/2023,01:00,BORDAS_345, 33.92,N
12/02/2023,01:00,BOSQUESW_CC1, 28.95,N
12/02/2023,01:00,BOSQUESW_CC2, 29.03,N
12/02/2023,01:00,BOSQ_BSQSU_5, 29.03,N
12/02/2023,01:00,BOSQ_BSQS_12, 29.03,N
12/02/2023,01:00,BOSQ_BSQS_34, 28.95,N
12/02/2023,01:00,BRANDON_RN, 29.12,N
12/02/2023,01:00,BRAUNIG_CC1, 33.91,N
