DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/17/2023,01:00,7RNCHSLR_ALL, 16.71,N
12/17/2023,01:00,AEEC, 16.32,N
12/17/2023,01:00,AGUAYO_UNIT1, 15.72,N
12/17/2023,01:00,AJAXWIND_RN, 15.32,N
12/17/2023,01:00,ALGOD_ALL_RN, 17.18,N
12/17/2023,01:00,ALVIN_RN, 16.3,N
12/17/2023,01:00,AMADEUS_ALL, 15.13,N
12/17/2023,01:00,AMISTAD_ALL, 30.6,N
12/17/2023,01:00,AMOCOOIL_CC1, 16.28,N
12/17/2023,01:00,AMOCOOIL_CC2, 16.28,N
12/17/2023,01:00,AMOCO_PUN1, 16.28,N
12/17/2023,01:00,AMOCO_PUN2, 16.28,N
12/17/2023,01:00,AMO_AMOCO_1, 16.28,N
12/17/2023,01:00,AMO_AMOCO_2, 16.28,N
12/17/2023,01:00,AMO_AMOCO_5, 16.28,N
12/17/2023,01:00,AMO_AMOCO_G1, 16.28,N
12/17/2023,01:00,AMO_AMOCO_G2, 16.28,N
12/17/2023,01:00,AMO_AMOCO_G3, 16.28,N
12/17/2023,01:00,AMO_AMOCO_S1, 16.28,N
12/17/2023,01:00,AMO_AMOCO_S2, 16.28,N
12/17/2023,01:00,ANACACHO_ANA, 24.69,N
12/17/2023,01:00,ANCHOR_ALL, 15.31,N
12/17/2023,01:00,ANDMDSLR_ALL, 15.1,N
12/17/2023,01:00,ANG_ALL, 16.07,N
12/17/2023,01:00,ANSON1_ALL, 14.85,N
12/17/2023,01:00,APPALOSA_ALL, 64.85,N
12/17/2023,01:00,AQUI_ALL, 15.65,N
12/17/2023,01:00,ARAGORN_RN, 31.72,N
12/17/2023,01:00,ASTRA_RN, 15.76,N
12/17/2023,01:00,ATK_ATKINSG7, 16.02,N
12/17/2023,01:00,AUSTPL_ALL, 16.68,N
12/17/2023,01:00,AVIAT_ALL, 19.46,N
12/17/2023,01:00,AZURE_RN, 15.18,N
12/17/2023,01:00,AZ_ALL, 16.19,N
12/17/2023,01:00,BAC_RN_ALL, 16.28,N
12/17/2023,01:00,BAFFIN_ALL, 17.08,N
12/17/2023,01:00,BAIRDWND_ALL, 15.18,N
12/17/2023,01:00,BARROW_ALL, 30.46,N
12/17/2023,01:00,BASTEN_CC1, 16.74,N
12/17/2023,01:00,BASTEN_CCU, 16.74,N
12/17/2023,01:00,BATCAVE_RN, 17,N
12/17/2023,01:00,BAYC_BESS_RN, 16.56,N
12/17/2023,01:00,BBREEZE_1_2, 17.12,N
12/17/2023,01:00,BCATWD_WD_1, 15.34,N
12/17/2023,01:00,BCH_RN, 16.33,N
12/17/2023,01:00,BCK_RN, 16.33,N
12/17/2023,01:00,BIGSTAR_ALL, 16.72,N
12/17/2023,01:00,BLACKJAK_RN, 17.15,N
12/17/2023,01:00,BLSMT1_5_A_6, 15.39,N
12/17/2023,01:00,BLUEJAY_RN, 16.01,N
12/17/2023,01:00,BOARDCRK_ALL, 15.67,N
12/17/2023,01:00,BOOTLEG_UN1, 32.56,N
12/17/2023,01:00,BORDAS_345, 17.05,N
12/17/2023,01:00,BOSQUESW_CC1, 15.74,N
12/17/2023,01:00,BOSQUESW_CC2, 15.76,N
12/17/2023,01:00,BOSQ_BSQSU_5, 15.76,N
12/17/2023,01:00,BOSQ_BSQS_12, 15.76,N
12/17/2023,01:00,BOSQ_BSQS_34, 15.74,N
12/17/2023,01:00,BRANDON_RN, 16.73,N
12/17/2023,01:00,BRAUNIG_CC1, 17.15,N
12/17/2023,01:00,BRAUNIG_VHB1, 17.16,N
12/17/2023,01:00,BRAUNIG_VHB2, 17.16,N
12/17/2023,01:00,BRAUNIG_VHB3, 17.22,N
12/17/2023,01:00,BRAZ_WND_ALL, 17.78,N
12/17/2023,01:00,BRA_AVR1_CT2, 17.15,N
12/17/2023,01:00,BRA_AVR_CST1, 17.15,N
12/17/2023,01:00,BRHEIGHT_RN, 16.28,N
12/17/2023,01:00,BRIGHTSD_RN, 17.46,N
12/17/2023,01:00,BRIGHTSD_U1, 17.45,N
12/17/2023,01:00,BRISCOE_WIND, 15.65,N
12/17/2023,01:00,BRPANGLE_RN, 16.33,N
12/17/2023,01:00,BRPMAGNO_RN, 16.29,N
12/17/2023,01:00,BRP_BRAZ_RN, 16.33,N
12/17/2023,01:00,BRP_DIKN_RN, 16.28,N
12/17/2023,01:00,BRP_LOOP_RN, 16.92,N
12/17/2023,01:00,BRP_LOP1_RN, 17.18,N
