DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/30/2023,01:00,7RNCHSLR_ALL, 21.28,N
12/30/2023,01:00,AEEC, 24.59,N
12/30/2023,01:00,AGUAYO_UNIT1, 19.11,N
12/30/2023,01:00,AJAXWIND_RN, 21.01,N
12/30/2023,01:00,ALGOD_ALL_RN, 21.99,N
12/30/2023,01:00,ALVIN_RN, 21.13,N
12/30/2023,01:00,AMADEUS_ALL, 21.56,N
12/30/2023,01:00,AMISTAD_ALL, 124.88,N
12/30/2023,01:00,AMOCOOIL_CC1, 21.11,N
12/30/2023,01:00,AMOCOOIL_CC2, 21.11,N
12/30/2023,01:00,AMOCO_PUN1, 21.11,N
12/30/2023,01:00,AMOCO_PUN2, 21.11,N
12/30/2023,01:00,AMO_AMOCO_1, 21.11,N
12/30/2023,01:00,AMO_AMOCO_2, 21.11,N
12/30/2023,01:00,AMO_AMOCO_5, 21.11,N
12/30/2023,01:00,AMO_AMOCO_G1, 21.11,N
12/30/2023,01:00,AMO_AMOCO_G2, 21.11,N
12/30/2023,01:00,AMO_AMOCO_G3, 21.11,N
12/30/2023,01:00,AMO_AMOCO_S1, 21.11,N
12/30/2023,01:00,AMO_AMOCO_S2, 21.11,N
12/30/2023,01:00,ANACACHO_ANA, 39.82,N
12/30/2023,01:00,ANCHOR_ALL, 20.85,N
12/30/2023,01:00,ANDMDSLR_ALL, 21.72,N
12/30/2023,01:00,ANG_ALL, 14.15,N
12/30/2023,01:00,ANSON1_ALL, 20.73,N
12/30/2023,01:00,APPALOSA_ALL, 261.86,N
12/30/2023,01:00,AQUI_ALL, 20.7,N
12/30/2023,01:00,ARAGORN_RN, 74.15,N
12/30/2023,01:00,ASTRA_RN, 22.93,N
12/30/2023,01:00,ATK_ATKINSG7, 20.87,N
12/30/2023,01:00,AUSTPL_ALL, 21.08,N
12/30/2023,01:00,AVIAT_ALL, 28.32,N
12/30/2023,01:00,AZURE_RN, 21.29,N
12/30/2023,01:00,AZ_ALL, 21.07,N
12/30/2023,01:00,BAC_RN_ALL, 21.11,N
12/30/2023,01:00,BAFFIN_ALL, 21.94,N
12/30/2023,01:00,BAIRDWND_ALL, 20.92,N
12/30/2023,01:00,BARROW_ALL, 64.77,N
12/30/2023,01:00,BASTEN_CC1, 21.15,N
12/30/2023,01:00,BASTEN_CCU, 21.15,N
12/30/2023,01:00,BATCAVE_RN, 20.93,N
12/30/2023,01:00,BAYC_BESS_RN, 21.44,N
12/30/2023,01:00,BBREEZE_1_2, 21.98,N
12/30/2023,01:00,BCATWD_WD_1, 20.78,N
12/30/2023,01:00,BCH_RN, 21.16,N
12/30/2023,01:00,BCK_RN, 21.17,N
12/30/2023,01:00,BIGSTAR_ALL, 21.2,N
12/30/2023,01:00,BLACKJAK_RN, 22.08,N
12/30/2023,01:00,BLSMT1_5_A_6, 21.48,N
