DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/12/2023,01:00,7RNCHSLR_ALL, 17.06,N
12/12/2023,01:00,AEEC, 16.13,N
12/12/2023,01:00,AGUAYO_UNIT1, 16.99,N
12/12/2023,01:00,AJAXWIND_RN, 15.76,N
12/12/2023,01:00,ALGOD_ALL_RN, 15.77,N
12/12/2023,01:00,ALVIN_RN, 16.74,N
12/12/2023,01:00,AMADEUS_ALL, 15.38,N
12/12/2023,01:00,AMISTAD_ALL, 28.27,N
12/12/2023,01:00,AMOCOOIL_CC1, 16.73,N
12/12/2023,01:00,AMOCOOIL_CC2, 16.73,N
12/12/2023,01:00,AMOCO_PUN1, 16.73,N
12/12/2023,01:00,AMOCO_PUN2, 16.73,N
12/12/2023,01:00,AMO_AMOCO_1, 16.73,N
12/12/2023,01:00,AMO_AMOCO_2, 16.73,N
12/12/2023,01:00,AMO_AMOCO_5, 16.73,N
12/12/2023,01:00,AMO_AMOCO_G1, 16.73,N
12/12/2023,01:00,AMO_AMOCO_G2, 16.73,N
12/12/2023,01:00,AMO_AMOCO_G3, 16.73,N
12/12/2023,01:00,AMO_AMOCO_S1, 16.73,N
12/12/2023,01:00,AMO_AMOCO_S2, 16.73,N
12/12/2023,01:00,ANACACHO_ANA, 25.57,N
12/12/2023,01:00,ANCHOR_ALL, 15.75,N
12/12/2023,01:00,ANDMDSLR_ALL, 15.3,N
12/12/2023,01:00,ANG_ALL, 19.06,N
12/12/2023,01:00,ANSON1_ALL, 15.18,N
12/12/2023,01:00,APPALOSA_ALL, 34.41,N
12/12/2023,01:00,AQUI_ALL, 16.3,N
12/12/2023,01:00,ARAGORN_RN, 28.55,N
12/12/2023,01:00,ASTRA_RN, 15.84,N
12/12/2023,01:00,ATK_ATKINSG7, 16.54,N
12/12/2023,01:00,AUSTPL_ALL, 17.22,N
12/12/2023,01:00,AVIAT_ALL, 20.74,N
12/12/2023,01:00,AZURE_RN, 15.52,N
12/12/2023,01:00,AZ_ALL, 16.39,N
12/12/2023,01:00,BAC_RN_ALL, 16.72,N
