DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/25/2023,01:00,7RNCHSLR_ALL, 12.12,N
12/25/2023,01:00,AEEC, 8.29,N
12/25/2023,01:00,AGUAYO_UNIT1, 11.58,N
12/25/2023,01:00,AJAXWIND_RN, 9.47,N
12/25/2023,01:00,ALGOD_ALL_RN, 12.45,N
12/25/2023,01:00,ALVIN_RN, 11.6,N
12/25/2023,01:00,AMADEUS_ALL, 9.14,N
12/25/2023,01:00,AMISTAD_ALL, 18.37,N
12/25/2023,01:00,AMOCOOIL_CC1, 11.57,N
12/25/2023,01:00,AMOCOOIL_CC2, 11.57,N
12/25/2023,01:00,AMOCO_PUN1, 11.57,N
12/25/2023,01:00,AMOCO_PUN2, 11.57,N
12/25/2023,01:00,AMO_AMOCO_1, 11.57,N
12/25/2023,01:00,AMO_AMOCO_2, 11.57,N
12/25/2023,01:00,AMO_AMOCO_5, 11.57,N
12/25/2023,01:00,AMO_AMOCO_G1, 11.57,N
12/25/2023,01:00,AMO_AMOCO_G2, 11.57,N
12/25/2023,01:00,AMO_AMOCO_G3, 11.57,N
12/25/2023,01:00,AMO_AMOCO_S1, 11.57,N
12/25/2023,01:00,AMO_AMOCO_S2, 11.57,N
12/25/2023,01:00,ANACACHO_ANA, 15.77,N
12/25/2023,01:00,ANCHOR_ALL, 9.8,N
12/25/2023,01:00,ANDMDSLR_ALL, 9.04,N
12/25/2023,01:00,ANG_ALL, 14.23,N
12/25/2023,01:00,ANSON1_ALL, 8.92,N
12/25/2023,01:00,APPALOSA_ALL, 29.98,N
12/25/2023,01:00,AQUI_ALL, 10.64,N
12/25/2023,01:00,ARAGORN_RN, 22.92,N
12/25/2023,01:00,ASTRA_RN, 8.61,N
12/25/2023,01:00,ATK_ATKINSG7, 11.21,N
12/25/2023,01:00,AUSTPL_ALL, 12.17,N
12/25/2023,01:00,AVIAT_ALL, 16.59,N
12/25/2023,01:00,AZURE_RN, 9.29,N
12/25/2023,01:00,AZ_ALL, 11.51,N
12/25/2023,01:00,BAC_RN_ALL, 11.57,N
12/25/2023,01:00,BAFFIN_ALL, 12.37,N
12/25/2023,01:00,BAIRDWND_ALL, 9.49,N
12/25/2023,01:00,BARROW_ALL, 24.49,N
12/25/2023,01:00,BASTEN_CC1, 12.16,N
12/25/2023,01:00,BASTEN_CCU, 12.16,N
12/25/2023,01:00,BATCAVE_RN, 13.12,N
12/25/2023,01:00,BAYC_BESS_RN, 11.96,N
12/25/2023,01:00,BBREEZE_1_2, 12.33,N
12/25/2023,01:00,BCATWD_WD_1, 9.64,N
12/25/2023,01:00,BCH_RN, 11.65,N
12/25/2023,01:00,BCK_RN, 11.67,N
