DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/22/2023,01:00,7RNCHSLR_ALL, 15.82,N
12/22/2023,01:00,AEEC, 15.24,N
12/22/2023,01:00,AGUAYO_UNIT1, 15.51,N
12/22/2023,01:00,AJAXWIND_RN, 14.42,N
12/22/2023,01:00,ALGOD_ALL_RN, 15.9,N
12/22/2023,01:00,ALVIN_RN, 15.53,N
12/22/2023,01:00,AMADEUS_ALL, 14.16,N
12/22/2023,01:00,AMISTAD_ALL, 23.94,N
12/22/2023,01:00,AMOCOOIL_CC1, 15.51,N
12/22/2023,01:00,AMOCOOIL_CC2, 15.51,N
12/22/2023,01:00,AMOCO_PUN1, 15.51,N
12/22/2023,01:00,AMOCO_PUN2, 15.51,N
12/22/2023,01:00,AMO_AMOCO_1, 15.51,N
12/22/2023,01:00,AMO_AMOCO_2, 15.51,N
12/22/2023,01:00,AMO_AMOCO_5, 15.51,N
12/22/2023,01:00,AMO_AMOCO_G1, 15.51,N
12/22/2023,01:00,AMO_AMOCO_G2, 15.51,N
12/22/2023,01:00,AMO_AMOCO_G3, 15.51,N
12/22/2023,01:00,AMO_AMOCO_S1, 15.51,N
12/22/2023,01:00,AMO_AMOCO_S2, 15.51,N
12/22/2023,01:00,ANACACHO_ANA, 20.66,N
12/22/2023,01:00,ANCHOR_ALL, 14.42,N
12/22/2023,01:00,ANDMDSLR_ALL, 14.11,N
12/22/2023,01:00,ANG_ALL, 17.49,N
12/22/2023,01:00,ANSON1_ALL, 13.78,N
12/22/2023,01:00,APPALOSA_ALL, 47.75,N
12/22/2023,01:00,AQUI_ALL, 14.91,N
12/22/2023,01:00,ARAGORN_RN, 26.74,N
12/22/2023,01:00,ASTRA_RN, 14.77,N
12/22/2023,01:00,ATK_ATKINSG7, 15.27,N
12/22/2023,01:00,AUSTPL_ALL, 15.86,N
12/22/2023,01:00,AVIAT_ALL, 20.68,N
12/22/2023,01:00,AZURE_RN, 14.24,N
12/22/2023,01:00,AZ_ALL, 15.63,N
12/22/2023,01:00,BAC_RN_ALL, 15.51,N
12/22/2023,01:00,BAFFIN_ALL, 15.7,N
12/22/2023,01:00,BAIRDWND_ALL, 14.24,N
12/22/2023,01:00,BARROW_ALL, 26.03,N
12/22/2023,01:00,BASTEN_CC1, 15.85,N
12/22/2023,01:00,BASTEN_CCU, 15.85,N
12/22/2023,01:00,BATCAVE_RN, 16.32,N
12/22/2023,01:00,BAYC_BESS_RN, 16.69,N
12/22/2023,01:00,BBREEZE_1_2, 15.57,N
12/22/2023,01:00,BCATWD_WD_1, 14.47,N
12/22/2023,01:00,BCH_RN, 15.54,N
12/22/2023,01:00,BCK_RN, 15.55,N
12/22/2023,01:00,BIGSTAR_ALL, 15.86,N
12/22/2023,01:00,BLACKJAK_RN, 15.91,N
12/22/2023,01:00,BLSMT1_5_A_6, 14.48,N
12/22/2023,01:00,BLUEJAY_RN, 15.26,N
12/22/2023,01:00,BOARDCRK_ALL, 14.93,N
12/22/2023,01:00,BOOTLEG_UN1, 27.61,N
12/22/2023,01:00,BORDAS_345, 14.95,N
12/22/2023,01:00,BOSQUESW_CC1, 15.07,N
12/22/2023,01:00,BOSQUESW_CC2, 15.09,N
12/22/2023,01:00,BOSQ_BSQSU_5, 15.09,N
12/22/2023,01:00,BOSQ_BSQS_12, 15.09,N
12/22/2023,01:00,BOSQ_BSQS_34, 15.07,N
12/22/2023,01:00,BRANDON_RN, 15.63,N
12/22/2023,01:00,BRAUNIG_CC1, 16.31,N
12/22/2023,01:00,BRAUNIG_VHB1, 16.33,N
12/22/2023,01:00,BRAUNIG_VHB2, 16.33,N
12/22/2023,01:00,BRAUNIG_VHB3, 16.36,N
12/22/2023,01:00,BRAZ_WND_ALL, 18.18,N
12/22/2023,01:00,BRA_AVR1_CT2, 16.31,N
12/22/2023,01:00,BRA_AVR_CST1, 16.31,N
12/22/2023,01:00,BRHEIGHT_RN, 15.51,N
12/22/2023,01:00,BRIGHTSD_RN, 16.44,N
12/22/2023,01:00,BRIGHTSD_U1, 16.39,N
12/22/2023,01:00,BRISCOE_WIND, 14.66,N
12/22/2023,01:00,BRPANGLE_RN, 15.54,N
12/22/2023,01:00,BRPMAGNO_RN, 15.52,N
12/22/2023,01:00,BRP_BRAZ_RN, 15.54,N
12/22/2023,01:00,BRP_DIKN_RN, 15.52,N
12/22/2023,01:00,BRP_LOOP_RN, 15.91,N
12/22/2023,01:00,BRP_LOP1_RN, 16.34,N
12/22/2023,01:00,BRP_PBL1_RN, 21.59,N
12/22/2023,01:00,BRP_PBL2_RN, 21.59,N
12/22/2023,01:00,BRP_RN_UNIT1, 16.4,N
12/22/2023,01:00,BRP_SEMI_RN, 15.52,N
12/22/2023,01:00,BRP_SWNY_RN, 15.54,N
12/22/2023,01:00,BRP_ZPT1_RN, 15.63,N
12/22/2023,01:00,BRP_ZPT2_RN, 16.63,N
12/22/2023,01:00,BRTSW_BCW1, 14.65,N
12/22/2023,01:00,BR_ARROW_ALL, 14.75,N
12/22/2023,01:00,BR_VHB6CT5_6, 16.33,N
12/22/2023,01:00,BR_VHB6CT7_8, 16.33,N
12/22/2023,01:00,BSS_U1, 15.54,N
12/22/2023,01:00,BTE_BTE_G1, 15.44,N
12/22/2023,01:00,BTE_BTE_G2, 15.44,N
12/22/2023,01:00,BTE_BTE_G3, 15.44,N
12/22/2023,01:00,BTE_BTE_G4, 15.44,N
12/22/2023,01:00,BTE_CC1, 15.44,N
12/22/2023,01:00,BTE_PUN1, 15.44,N
12/22/2023,01:00,BTE_PUN2, 15.44,N
12/22/2023,01:00,BTM_ALL, 15.52,N
12/22/2023,01:00,BUCHAN_ALL, 15.99,N
12/22/2023,01:00,BUCKTHRN_RN, 14.88,N
12/22/2023,01:00,BUFF_GAP_ALL, 14.38,N
12/22/2023,01:00,BULLCRK_1_2, 16.94,N
12/22/2023,01:00,BVE_CC1, 15.5,N
12/22/2023,01:00,BVE_UNIT1, 15.5,N
12/22/2023,01:00,BVE_UNIT2, 15.5,N
12/22/2023,01:00,BVE_UNIT3, 15.5,N
12/22/2023,01:00,BYRDR_ES_ALL, 15.54,N
12/22/2023,01:00,BYU_BYU_1, 15.51,N
12/22/2023,01:00,BYU_BYU_12, 15.51,N
12/22/2023,01:00,BYU_BYU_34, 15.51,N
12/22/2023,01:00,BYU_BYU_G8, 15.51,N
12/22/2023,01:00,BYU_CC1, 15.51,N
12/22/2023,01:00,BYU_G4_RN, 15.51,N
12/22/2023,01:00,BYU_PUN1, 15.51,N
12/22/2023,01:00,BYU_PUN2, 15.51,N
12/22/2023,01:00,BYU_PUN3, 15.51,N
12/22/2023,01:00,BYU_PUN4, 15.51,N
12/22/2023,01:00,B_DAVIS_3, 15.83,N
12/22/2023,01:00,B_DAVIS_4, 15.83,N
12/22/2023,01:00,B_DAVIS_CC1, 15.83,N
12/22/2023,01:00,B_D_B_DAVIG1, 15.83,N
12/22/2023,01:00,B_D_B_DAVIG2, 15.83,N
12/22/2023,01:00,CABEZON_ALL, 15.2,N
12/22/2023,01:00,CALAVER_JKS1, 16.27,N
12/22/2023,01:00,CALAVER_JKS2, 16.27,N
12/22/2023,01:00,CALAVER_JTD1, 16.33,N
12/22/2023,01:00,CALAVER_JTD2, 16.33,N
12/22/2023,01:00,CALAVER_OWS1, 16.33,N
12/22/2023,01:00,CALAVER_OWS2, 16.33,N
12/22/2023,01:00,CALHOUN_ALL, 15.86,N
12/22/2023,01:00,CALLAHA_WND1, 15.96,N
12/22/2023,01:00,CAL_CALGT1, 15.65,N
12/22/2023,01:00,CAL_CALSTG1, 15.65,N
12/22/2023,01:00,CAL_CC1, 15.65,N
12/22/2023,01:00,CAL_PUN1, 15.65,N
12/22/2023,01:00,CAL_PUN2, 15.65,N
12/22/2023,01:00,CAMWIND_RN, 15.61,N
12/22/2023,01:00,CANYONWD_ALL, 13.06,N
12/22/2023,01:00,CAPRIDG4_CR4, 20.68,N
12/22/2023,01:00,CAPRIDGE_ALL, 20.68,N
12/22/2023,01:00,CARBN_BSP_1, 23.37,N
12/22/2023,01:00,CASL_GAP_UN1, 29.54,N
12/22/2023,01:00,CATARINA_B1, 33.24,N
12/22/2023,01:00,CBECII_1, 15.59,N
12/22/2023,01:00,CBECII_2, 15.59,N
12/22/2023,01:00,CBECII_89, 15.59,N
12/22/2023,01:00,CBECII_CC3, 15.59,N
12/22/2023,01:00,CBECII_CT7, 15.59,N
12/22/2023,01:00,CBEC_ALL, 15.59,N
12/22/2023,01:00,CBEC_CC1, 15.59,N
12/22/2023,01:00,CBEC_CC2, 15.59,N
12/22/2023,01:00,CBY4_ALL, 15.44,N
12/22/2023,01:00,CBY4_CC1, 15.44,N
12/22/2023,01:00,CBY_CBY_G1, 15.47,N
12/22/2023,01:00,CBY_CBY_G2, 15.48,N
12/22/2023,01:00,CCEC_CC1, 15.84,N
12/22/2023,01:00,CCEC_GT1, 15.84,N
12/22/2023,01:00,CCEC_GT2, 15.84,N
12/22/2023,01:00,CCEC_PUN1, 15.84,N
12/22/2023,01:00,CCEC_PUN2, 15.84,N
12/22/2023,01:00,CCEC_ST1, 15.84,N
12/22/2023,01:00,CEDROHI_CHW1, 14.99,N
12/22/2023,01:00,CEDRVALE_RN, 26.87,N
12/22/2023,01:00,CFLATS_UNIT, 16.82,N
12/22/2023,01:00,CHALUP_ALL, 15.61,N
12/22/2023,01:00,CHAL_SLR_RN, 26.7,N
12/22/2023,01:00,CHAMON_UN1, 15.43,N
12/22/2023,01:00,CHAMON_UN2, 15.43,N
12/22/2023,01:00,CHEDPW_GT2, 15.4,N
12/22/2023,01:00,CHE_CC1, 15.39,N
12/22/2023,01:00,CHE_LYD, 15.39,N
12/22/2023,01:00,CHE_LYD2, 15.39,N
12/22/2023,01:00,CHE_PUN1, 15.39,N
12/22/2023,01:00,CHE_PUN2, 15.39,N
12/22/2023,01:00,CHISMGRD_RN, 14.64,N
12/22/2023,01:00,CISC_RN, 15.48,N
12/22/2023,01:00,CITYVICT_ALL, 15.92,N
12/22/2023,01:00,CN_BRKS_UNT1, 14.74,N
12/22/2023,01:00,COL_COLETOG1, 16,N
12/22/2023,01:00,CONIGLIO_RN, 14.73,N
12/22/2023,01:00,CONTINEN_RN, 15.93,N
12/22/2023,01:00,CORALSLR_ALL, 15.14,N
12/22/2023,01:00,CORAZON_RN, 14.84,N
12/22/2023,01:00,COTPLNS_RN, 14.66,N
12/22/2023,01:00,COTTON_PAP2, 15.84,N
12/22/2023,01:00,COYOTSPR_RN, 26.91,N
12/22/2023,01:00,CPSES_UNIT1, 14.75,N
12/22/2023,01:00,CPSES_UNIT2, 14.75,N
12/22/2023,01:00,CRANELL_ALL, 15.91,N
12/22/2023,01:00,CROSSETT_ALL, 28.97,N
12/22/2023,01:00,CRWN_SLR_UN1, 15.23,N
12/22/2023,01:00,CSC_CSECG1_2, 17.62,N
12/22/2023,01:00,CVC_CC1, 15.4,N
12/22/2023,01:00,CVC_CVCG1_5, 15.4,N
12/22/2023,01:00,CVC_CVC_G2, 15.4,N
12/22/2023,01:00,CVC_CVC_G3, 15.4,N
12/22/2023,01:00,DAG_ALL, 15.55,N
12/22/2023,01:00,DANSBY_ALL, 15.27,N
12/22/2023,01:00,DAN_ALL, 15.65,N
12/22/2023,01:00,DA_BESS, 15.52,N
12/22/2023,01:00,DC2SES_ALL, 14.78,N
12/22/2023,01:00,DC_E, 14.75,N
12/22/2023,01:00,DC_L, 14.34,N
12/22/2023,01:00,DC_N, 14.45,N
12/22/2023,01:00,DC_R, 15.66,N
12/22/2023,01:00,DDPEC_CC1, 15.44,N
12/22/2023,01:00,DDPEC_GT1, 15.44,N
12/22/2023,01:00,DDPEC_GT2, 15.44,N
12/22/2023,01:00,DDPEC_GT3, 15.44,N
12/22/2023,01:00,DDPEC_GT4, 15.44,N
12/22/2023,01:00,DDPEC_GT6, 15.44,N
12/22/2023,01:00,DDPEC_ST1, 15.44,N
12/22/2023,01:00,DECKER_DPG2, 15.84,N
12/22/2023,01:00,DECKER_GT, 15.84,N
12/22/2023,01:00,DENISON_G1_2, 14.72,N
12/22/2023,01:00,DERMOTT_ALL, 14.05,N
12/22/2023,01:00,DIBOL_RN, 14.89,N
12/22/2023,01:00,DIB_CC1, 15.51,N
12/22/2023,01:00,DIB_DIB_G1, 15.51,N
12/22/2023,01:00,DIB_DIB_G2, 15.51,N
12/22/2023,01:00,DIB_DIB_G3, 15.51,N
12/22/2023,01:00,DIB_DIB_G4, 15.51,N
12/22/2023,01:00,DIB_PUN1, 15.51,N
12/22/2023,01:00,DIB_PUN2, 15.51,N
12/22/2023,01:00,DILEOS_UNIT1, 15.08,N
12/22/2023,01:00,DKNS_ESS_RN, 14.46,N
12/22/2023,01:00,DOWGEN_PUN1, 15.59,N
12/22/2023,01:00,DOWGEN_PUN2, 15.59,N
12/22/2023,01:00,DOWGEN_PUN3, 15.59,N
12/22/2023,01:00,DOW_61_2_63, 15.59,N
12/22/2023,01:00,DOW_64, 15.59,N
12/22/2023,01:00,DOW_81_2_84, 15.59,N
12/22/2023,01:00,DOW_G37_G35, 15.59,N
12/22/2023,01:00,DOW_G66_ST65, 15.59,N
12/22/2023,01:00,DOW_G67, 15.59,N
12/22/2023,01:00,DOW_G96_ST95, 15.59,N
12/22/2023,01:00,DUKE_CC1, 15.63,N
12/22/2023,01:00,DUKE_GST1CCU, 15.63,N
12/22/2023,01:00,DUKE_GT2_CCU, 15.63,N
12/22/2023,01:00,DUP_PUN1, 15.91,N
12/22/2023,01:00,DUP_PUN2, 15.91,N
12/22/2023,01:00,DUP_PUN3, 15.91,N
12/22/2023,01:00,DUP_PUN4, 15.91,N
12/22/2023,01:00,EBELLS_UNIT1, 15.31,N
12/22/2023,01:00,ECLIPSE_UN1, 21.69,N
12/22/2023,01:00,EIFSLR_UNIT1, 14.74,N
12/22/2023,01:00,ELB_ELBCREEK, 25.69,N
12/22/2023,01:00,ELECTRAW_1_2, 14.44,N
12/22/2023,01:00,ELSAUZ_ALL, 15.57,N
12/22/2023,01:00,ELSA_ESR_RN, 15.63,N
12/22/2023,01:00,ELS_RN_1, 14.81,N
