DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/03/2023,01:00,7RNCHSLR_ALL, 23.78,N
12/03/2023,01:00,AEEC, 17.25,N
12/03/2023,01:00,AGUAYO_UNIT1, 22.42,N
12/03/2023,01:00,AJAXWIND_RN, 18.53,N
12/03/2023,01:00,ALGOD_ALL_RN, 25.03,N
12/03/2023,01:00,ALVIN_RN, 22.65,N
12/03/2023,01:00,AMADEUS_ALL, 18,N
12/03/2023,01:00,AMISTAD_ALL, 74.55,N
12/03/2023,01:00,AMOCOOIL_CC1, 22.58,N
12/03/2023,01:00,AMOCOOIL_CC2, 22.58,N
12/03/2023,01:00,AMOCO_PUN1, 22.58,N
12/03/2023,01:00,AMOCO_PUN2, 22.58,N
12/03/2023,01:00,AMO_AMOCO_1, 22.58,N
12/03/2023,01:00,AMO_AMOCO_2, 22.58,N
12/03/2023,01:00,AMO_AMOCO_5, 22.58,N
12/03/2023,01:00,AMO_AMOCO_G1, 22.58,N
12/03/2023,01:00,AMO_AMOCO_G2, 22.58,N
12/03/2023,01:00,AMO_AMOCO_G3, 22.58,N
12/03/2023,01:00,AMO_AMOCO_S1, 22.58,N
12/03/2023,01:00,AMO_AMOCO_S2, 22.58,N
12/03/2023,01:00,ANACACHO_ANA, 53.03,N
12/03/2023,01:00,ANCHOR_ALL, 18.95,N
12/03/2023,01:00,ANDMDSLR_ALL, 17.89,N
12/03/2023,01:00,ANG_ALL, 27.45,N
12/03/2023,01:00,ANSON1_ALL, 17.21,N
12/03/2023,01:00,APPALOSA_ALL, 177.35,N
12/03/2023,01:00,AQUI_ALL, 20.56,N
12/03/2023,01:00,ARAGORN_RN, 107.97,N
12/03/2023,01:00,ASTRA_RN, 13.61,N
12/03/2023,01:00,ATK_ATKINSG7, 21.62,N
12/03/2023,01:00,AUSTPL_ALL, 23.72,N
12/03/2023,01:00,AVIAT_ALL, 39.37,N
12/03/2023,01:00,AZURE_RN, 18.16,N
12/03/2023,01:00,AZ_ALL, 22.37,N
12/03/2023,01:00,BAC_RN_ALL, 22.57,N
12/03/2023,01:00,BAFFIN_ALL, 25.19,N
12/03/2023,01:00,BAIRDWND_ALL, 18.38,N
12/03/2023,01:00,BARROW_ALL, 118.51,N
12/03/2023,01:00,BASTEN_CC1, 23.73,N
