DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/06/2023,01:00,7RNCHSLR_ALL, 29.34,N
12/06/2023,01:00,AEEC, 26.15,N
12/06/2023,01:00,AGUAYO_UNIT1, 28.47,N
12/06/2023,01:00,AJAXWIND_RN, 21.26,N
12/06/2023,01:00,ALGOD_ALL_RN, 30.1,N
12/06/2023,01:00,ALVIN_RN, 27.27,N
12/06/2023,01:00,AMADEUS_ALL, 19.45,N
12/06/2023,01:00,AMISTAD_ALL, 87.3,N
12/06/2023,01:00,AMOCOOIL_CC1, 27.19,N
12/06/2023,01:00,AMOCOOIL_CC2, 27.19,N
12/06/2023,01:00,AMOCO_PUN1, 27.19,N
12/06/2023,01:00,AMOCO_PUN2, 27.19,N
12/06/2023,01:00,AMO_AMOCO_1, 27.19,N
12/06/2023,01:00,AMO_AMOCO_2, 27.19,N
12/06/2023,01:00,AMO_AMOCO_5, 27.19,N
12/06/2023,01:00,AMO_AMOCO_G1, 27.19,N
12/06/2023,01:00,AMO_AMOCO_G2, 27.19,N
12/06/2023,01:00,AMO_AMOCO_G3, 27.19,N
12/06/2023,01:00,AMO_AMOCO_S1, 27.19,N
12/06/2023,01:00,AMO_AMOCO_S2, 27.19,N
12/06/2023,01:00,ANACACHO_ANA, 50.8,N
12/06/2023,01:00,ANCHOR_ALL, 21.2,N
12/06/2023,01:00,ANDMDSLR_ALL, 19.09,N
12/06/2023,01:00,ANG_ALL, 46.9,N
12/06/2023,01:00,ANSON1_ALL, 17.55,N
12/06/2023,01:00,APPALOSA_ALL, 149.38,N
12/06/2023,01:00,AQUI_ALL, 24.35,N
12/06/2023,01:00,ARAGORN_RN, 96.24,N
12/06/2023,01:00,ASTRA_RN, 23.21,N
12/06/2023,01:00,ATK_ATKINSG7, 25.84,N
12/06/2023,01:00,AUSTPL_ALL, 29.62,N
12/06/2023,01:00,AVIAT_ALL, 60.37,N
12/06/2023,01:00,AZURE_RN, 20.06,N
12/06/2023,01:00,AZ_ALL, 26.82,N
12/06/2023,01:00,BAC_RN_ALL, 27.15,N
12/06/2023,01:00,BAFFIN_ALL, 30.09,N
12/06/2023,01:00,BAIRDWND_ALL, 20.13,N
12/06/2023,01:00,BARROW_ALL, 96.5,N
12/06/2023,01:00,BASTEN_CC1, 29.57,N
12/06/2023,01:00,BASTEN_CCU, 29.57,N
12/06/2023,01:00,BATCAVE_RN, 32.2,N
12/06/2023,01:00,BAYC_BESS_RN, 28.58,N
12/06/2023,01:00,BBREEZE_1_2, 30.18,N
12/06/2023,01:00,BCATWD_WD_1, 21.58,N
12/06/2023,01:00,BCH_RN, 27.62,N
12/06/2023,01:00,BCK_RN, 27.54,N
12/06/2023,01:00,BIGSTAR_ALL, 29.52,N
12/06/2023,01:00,BLACKJAK_RN, 30.09,N
12/06/2023,01:00,BLSMT1_5_A_6, 21.45,N
12/06/2023,01:00,BLUEJAY_RN, 25.81,N
12/06/2023,01:00,BOARDCRK_ALL, 24.09,N
12/06/2023,01:00,BOOTLEG_UN1, 96.23,N
12/06/2023,01:00,BORDAS_345, 30.48,N
12/06/2023,01:00,BOSQUESW_CC1, 25.26,N
12/06/2023,01:00,BOSQUESW_CC2, 25.35,N
12/06/2023,01:00,BOSQ_BSQSU_5, 25.35,N
12/06/2023,01:00,BOSQ_BSQS_12, 25.35,N
12/06/2023,01:00,BOSQ_BSQS_34, 25.26,N
12/06/2023,01:00,BRANDON_RN, 28.44,N
12/06/2023,01:00,BRAUNIG_CC1, 31.94,N
12/06/2023,01:00,BRAUNIG_VHB1, 31.96,N
12/06/2023,01:00,BRAUNIG_VHB2, 31.96,N
12/06/2023,01:00,BRAUNIG_VHB3, 31.96,N
12/06/2023,01:00,BRAZ_WND_ALL, 39.79,N
12/06/2023,01:00,BRA_AVR1_CT2, 31.94,N
12/06/2023,01:00,BRA_AVR_CST1, 31.94,N
12/06/2023,01:00,BRHEIGHT_RN, 27.19,N
12/06/2023,01:00,BRIGHTSD_RN, 30.6,N
12/06/2023,01:00,BRIGHTSD_U1, 30.59,N
12/06/2023,01:00,BRISCOE_WIND, 22.58,N
12/06/2023,01:00,BRPANGLE_RN, 27.66,N
12/06/2023,01:00,BRPMAGNO_RN, 27.2,N
12/06/2023,01:00,BRP_BRAZ_RN, 27.66,N
12/06/2023,01:00,BRP_DIKN_RN, 27.2,N
12/06/2023,01:00,BRP_LOOP_RN, 29.76,N
12/06/2023,01:00,BRP_LOP1_RN, 30.41,N
12/06/2023,01:00,BRP_PBL1_RN, 39.38,N
12/06/2023,01:00,BRP_PBL2_RN, 39.37,N
12/06/2023,01:00,BRP_RN_UNIT1, 32.42,N
12/06/2023,01:00,BRP_SEMI_RN, 27.22,N
12/06/2023,01:00,BRP_SWNY_RN, 27.66,N
12/06/2023,01:00,BRP_ZPT1_RN, 30.5,N
12/06/2023,01:00,BRP_ZPT2_RN, 30.5,N
12/06/2023,01:00,BRTSW_BCW1, 22.31,N
12/06/2023,01:00,BR_ARROW_ALL, 23.27,N
12/06/2023,01:00,BR_VHB6CT5_6, 31.96,N
12/06/2023,01:00,BR_VHB6CT7_8, 31.96,N
12/06/2023,01:00,BSS_U1, 27.66,N
12/06/2023,01:00,BTE_BTE_G1, 26.72,N
12/06/2023,01:00,BTE_BTE_G2, 26.72,N
12/06/2023,01:00,BTE_BTE_G3, 26.72,N
12/06/2023,01:00,BTE_BTE_G4, 26.72,N
12/06/2023,01:00,BTE_CC1, 26.72,N
12/06/2023,01:00,BTE_PUN1, 26.72,N
12/06/2023,01:00,BTE_PUN2, 26.72,N
12/06/2023,01:00,BTM_ALL, 27.48,N
12/06/2023,01:00,BUCHAN_ALL, 30.59,N
12/06/2023,01:00,BUCKTHRN_RN, 24.38,N
12/06/2023,01:00,BUFF_GAP_ALL, 20.46,N
12/06/2023,01:00,BULLCRK_1_2, 34.34,N
12/06/2023,01:00,BVE_CC1, 27.25,N
12/06/2023,01:00,BVE_UNIT1, 27.25,N
12/06/2023,01:00,BVE_UNIT2, 27.25,N
12/06/2023,01:00,BVE_UNIT3, 27.25,N
12/06/2023,01:00,BYRDR_ES_ALL, 27.66,N
12/06/2023,01:00,BYU_BYU_1, 27,N
12/06/2023,01:00,BYU_BYU_12, 27,N
12/06/2023,01:00,BYU_BYU_34, 27,N
12/06/2023,01:00,BYU_BYU_G8, 27,N
12/06/2023,01:00,BYU_CC1, 27,N
12/06/2023,01:00,BYU_G4_RN, 27,N
12/06/2023,01:00,BYU_PUN1, 27,N
12/06/2023,01:00,BYU_PUN2, 27,N
12/06/2023,01:00,BYU_PUN3, 27,N
12/06/2023,01:00,BYU_PUN4, 27,N
12/06/2023,01:00,B_DAVIS_3, 29.53,N
12/06/2023,01:00,B_DAVIS_4, 29.53,N
12/06/2023,01:00,B_DAVIS_CC1, 29.53,N
12/06/2023,01:00,B_D_B_DAVIG1, 29.53,N
12/06/2023,01:00,B_D_B_DAVIG2, 29.53,N
12/06/2023,01:00,CABEZON_ALL, 30.39,N
12/06/2023,01:00,CALAVER_JKS1, 31.76,N
12/06/2023,01:00,CALAVER_JKS2, 31.76,N
12/06/2023,01:00,CALAVER_JTD1, 31.88,N
12/06/2023,01:00,CALAVER_JTD2, 31.88,N
12/06/2023,01:00,CALAVER_OWS1, 31.95,N
12/06/2023,01:00,CALAVER_OWS2, 31.91,N
12/06/2023,01:00,CALHOUN_ALL, 29.51,N
12/06/2023,01:00,CALLAHA_WND1, 25.4,N
12/06/2023,01:00,CAL_CALGT1, 26.85,N
12/06/2023,01:00,CAL_CALSTG1, 26.85,N
12/06/2023,01:00,CAL_CC1, 26.85,N
12/06/2023,01:00,CAL_PUN1, 26.85,N
12/06/2023,01:00,CAL_PUN2, 26.85,N
12/06/2023,01:00,CAMWIND_RN, 29.53,N
12/06/2023,01:00,CANYONWD_ALL, 13.45,N
12/06/2023,01:00,CAPRIDG4_CR4, 60.37,N
12/06/2023,01:00,CAPRIDGE_ALL, 60.37,N
12/06/2023,01:00,CARBN_BSP_1, 89.65,N
12/06/2023,01:00,CASL_GAP_UN1, 105.37,N
12/06/2023,01:00,CATARINA_B1, 35.02,N
12/06/2023,01:00,CBECII_1, 27.82,N
12/06/2023,01:00,CBECII_2, 27.82,N
12/06/2023,01:00,CBECII_89, 27.82,N
12/06/2023,01:00,CBECII_CC3, 27.82,N
12/06/2023,01:00,CBECII_CT7, 27.82,N
12/06/2023,01:00,CBEC_ALL, 27.83,N
12/06/2023,01:00,CBEC_CC1, 27.83,N
12/06/2023,01:00,CBEC_CC2, 27.83,N
12/06/2023,01:00,CBY4_ALL, 26.73,N
12/06/2023,01:00,CBY4_CC1, 26.73,N
12/06/2023,01:00,CBY_CBY_G1, 26.76,N
12/06/2023,01:00,CBY_CBY_G2, 26.77,N
12/06/2023,01:00,CCEC_CC1, 29.58,N
12/06/2023,01:00,CCEC_GT1, 29.58,N
12/06/2023,01:00,CCEC_GT2, 29.58,N
12/06/2023,01:00,CCEC_PUN1, 29.58,N
12/06/2023,01:00,CCEC_PUN2, 29.58,N
12/06/2023,01:00,CCEC_ST1, 29.58,N
12/06/2023,01:00,CEDROHI_CHW1, 30.52,N
12/06/2023,01:00,CEDRVALE_RN, 96.45,N
12/06/2023,01:00,CFLATS_UNIT, 24.33,N
12/06/2023,01:00,CHALUP_ALL, 29.53,N
12/06/2023,01:00,CHAL_SLR_RN, 96.18,N
12/06/2023,01:00,CHAMON_UN1, 26.77,N
12/06/2023,01:00,CHAMON_UN2, 26.77,N
12/06/2023,01:00,CHEDPW_GT2, 26.71,N
12/06/2023,01:00,CHE_CC1, 26.74,N
12/06/2023,01:00,CHE_LYD, 26.75,N
12/06/2023,01:00,CHE_LYD2, 26.75,N
12/06/2023,01:00,CHE_PUN1, 26.75,N
12/06/2023,01:00,CHE_PUN2, 26.75,N
12/06/2023,01:00,CHISMGRD_RN, 22.76,N
12/06/2023,01:00,CISC_RN, 25.45,N
12/06/2023,01:00,CITYVICT_ALL, 29.75,N
12/06/2023,01:00,CN_BRKS_UNT1, 23.05,N
12/06/2023,01:00,COL_COLETOG1, 30.13,N
12/06/2023,01:00,CONIGLIO_RN, 23.13,N
12/06/2023,01:00,CONTINEN_RN, 29.66,N
12/06/2023,01:00,CORALSLR_ALL, 25.45,N
12/06/2023,01:00,CORAZON_RN, 30.56,N
12/06/2023,01:00,COTPLNS_RN, 22.55,N
12/06/2023,01:00,COTTON_PAP2, 29.9,N
12/06/2023,01:00,COYOTSPR_RN, 96.6,N
12/06/2023,01:00,CPSES_UNIT1, 23.42,N
12/06/2023,01:00,CPSES_UNIT2, 23.42,N
12/06/2023,01:00,CRANELL_ALL, 30.09,N
12/06/2023,01:00,CROSSETT_ALL, 105.39,N
12/06/2023,01:00,CRWN_SLR_UN1, 26.23,N
12/06/2023,01:00,CSC_CSECG1_2, 37.47,N
12/06/2023,01:00,CVC_CC1, 26.7,N
12/06/2023,01:00,CVC_CVCG1_5, 26.7,N
12/06/2023,01:00,CVC_CVC_G2, 26.7,N
12/06/2023,01:00,CVC_CVC_G3, 26.7,N
12/06/2023,01:00,DAG_ALL, 27.66,N
12/06/2023,01:00,DANSBY_ALL, 25.86,N
12/06/2023,01:00,DAN_ALL, 28.15,N
12/06/2023,01:00,DA_BESS, 27.5,N
12/06/2023,01:00,DC2SES_ALL, 23.6,N
12/06/2023,01:00,DC_E, 23.27,N
12/06/2023,01:00,DC_L, 30.69,N
12/06/2023,01:00,DC_N, 21.22,N
12/06/2023,01:00,DC_R, 29.59,N
12/06/2023,01:00,DDPEC_CC1, 26.73,N
12/06/2023,01:00,DDPEC_GT1, 26.73,N
12/06/2023,01:00,DDPEC_GT2, 26.73,N
12/06/2023,01:00,DDPEC_GT3, 26.73,N
12/06/2023,01:00,DDPEC_GT4, 26.73,N
12/06/2023,01:00,DDPEC_GT6, 26.73,N
12/06/2023,01:00,DDPEC_ST1, 26.73,N
12/06/2023,01:00,DECKER_DPG2, 29.55,N
12/06/2023,01:00,DECKER_GT, 29.55,N
12/06/2023,01:00,DENISON_G1_2, 23.1,N
12/06/2023,01:00,DERMOTT_ALL, 18.57,N
12/06/2023,01:00,DIBOL_RN, 24.1,N
12/06/2023,01:00,DIB_CC1, 26.9,N
