date,node,count
2023/12/01,FERGCC_ST1_5,24
2023/12/01,VORT_ALL_RN,24
2023/12/01,BOOTLEG_UN1,24
2023/12/01,RIOG_ESR_RN,24
2023/12/01,CVC_CVC_G2,24
2023/12/01,SDSES_PUN1,24
2023/12/01,CVC_CVC_G3,24
2023/12/01,SDSES_PUN2,24
2023/12/01,SDSES_PUN3,24
2023/12/01,SDSES_PUN4,24
2023/12/01,PSA_PUN1,24
2023/12/01,PSA_PUN2,24
2023/12/01,PISG_RN_ALL,24
2023/12/01,MDANP_CT5_6,24
2023/12/01,PSA_PUN3,24
2023/12/01,PSA_PUN4,24
2023/12/01,PSA_PUN5,24
2023/12/01,UCC_COG_PUN2,24
2023/12/01,OGSES_1,24
2023/12/01,DIB_CC1,24
2023/12/01,WILDWIND_ALL,24
2023/12/01,OGSES_2,24
2023/12/01,FRNYPP_CC1,24
2023/12/01,FRNYPP_CC2,24
2023/12/01,STP_STP_G1,24
2023/12/01,LEONLCPCT3_4,24
2023/12/01,STP_STP_G2,24
2023/12/01,PANDA_T1_CC1,24
2023/12/01,WHCCS2_4,24
2023/12/01,REROCK_ALL,24
2023/12/01,POTSVIL_RN,24
2023/12/01,DILEOS_UNIT1,24
2023/12/01,AMOCO_PUN1,24
2023/12/01,FIVEWSLR_ALL,24
2023/12/01,AMOCO_PUN2,24
2023/12/01,THW_THWGT5X,24
2023/12/01,MARIAH_ALL,24
2023/12/01,SG_BES_BESS1,24
2023/12/01,LZ_HOUSTON,24
2023/12/01,LOS_LOSTPST1,24
2023/12/01,CAL_PUN1,24
2023/12/01,PEARSA_1_24,24
2023/12/01,LGW_UNIT_ALL,24
2023/12/01,CAL_PUN2,24
2023/12/01,EUNICE_ALL,24
2023/12/01,W_PECO_UNIT1,24
2023/12/01,EL_RAYO_ALL,24
2023/12/01,BAYC_BESS_RN,24
2023/12/01,PH2_U1_U2,24
2023/12/01,ANDMDSLR_ALL,24
2023/12/01,WAP_WAP_G1,24
2023/12/01,FLTBES1,24
2023/12/01,WAP_WAP_G2,24
2023/12/01,LOS_LOSTPGT1,24
2023/12/01,WAP_WAP_G3,24
2023/12/01,SOLARA_UNIT1,24
2023/12/01,LOS_LOSTPGT2,24
2023/12/01,WAP_WAP_G4,24
2023/12/01,RTLSNAKE_BT,24
2023/12/01,WAP_WAP_G5,24
2023/12/01,LONESTAR_RN,24
2023/12/01,WAP_WAP_G6,24
2023/12/01,WAP_WAP_G7,24
2023/12/01,WAP_WAP_G8,24
2023/12/01,IN_INDNENR,24
2023/12/01,VERAWIND_ALL,24
2023/12/01,DC_E,24
2023/12/01,GUADG_CCU1,24
2023/12/01,GUADG_CCU2,24
2023/12/01,LGD_LANGFORD,24
2023/12/01,COL_COLETOG1,24
2023/12/01,FRONT_EC_RN1,24
2023/12/01,DC_L,24
2023/12/01,SANTACRU_ALL,24
2023/12/01,PHOEBE_ALL,24
2023/12/01,FRONT_EC_RN2,24
2023/12/01,BRAUNIG_VHB1,24
2023/12/01,FRONT_EC_RN3,24
2023/12/01,BRAUNIG_VHB2,24
2023/12/01,DC_N,24
2023/12/01,BRAUNIG_VHB3,24
2023/12/01,CHE_LYD,24
2023/12/01,HRFDWIND_ALL,24
2023/12/01,DC_R,24
2023/12/01,PHILLWND_ALL,24
2023/12/01,HOL_ALL,24
2023/12/01,LHSES_UNIT1,24
2023/12/01,LHSES_UNIT2,24
2023/12/01,KEECHI_U1,24
2023/12/01,CHE_LYD2,24
2023/12/01,BVE_CC1,24
2023/12/01,SRWE1_UNIT1,24
2023/12/01,RN_ECEC_HOLT,24
2023/12/01,MESTENO_RN,24
2023/12/01,FERGCC_GT2_3,24
2023/12/01,WCPP_CT1,24
2023/12/01,WCPP_CT2,24
2023/12/01,OLNEYTN_RN,24
2023/12/01,BRP_SWNY_RN,24
2023/12/01,CN_BRKS_UNT1,24
2023/12/01,CABEZON_ALL,24
2023/12/01,BBREEZE_1_2,24
2023/12/01,BSS_U1,24
2023/12/01,EXN_1_3,24
2023/12/01,SAN_SANMIGG1,24
2023/12/01,CBEC_ALL,24
2023/12/01,WIR_WIRTZ_G1,24
2023/12/01,WIR_WIRTZ_G2,24
2023/12/01,SWEETWN2_2_4,24
2023/12/01,BRP_LOOP_RN,24
2023/12/01,DOWGEN_PUN1,24
2023/12/01,DOWGEN_PUN2,24
2023/12/01,HHOLLW3_WND1,24
2023/12/01,DOWGEN_PUN3,24
2023/12/01,CHISMGRD_RN,24
2023/12/01,WAP_WAPGT_1,24
2023/12/01,SIL_SILAS_10,24
2023/12/01,SGM_SIGNALMT,24
2023/12/01,RRC_WIND_ALL,24
2023/12/01,HAMI_BESS_RN,24
2023/12/01,HB_WEST,24
2023/12/01,THW_CC1,24
2023/12/01,THW_CC2,24
2023/12/01,EXN_PUN1,24
2023/12/01,DERMOTT_ALL,24
2023/12/01,EXN_PUN2,24
2023/12/01,EXN_PUN3,24
2023/12/01,PRSPERO2_ALL,24
2023/12/01,PANDA_T2_ST1,24
2023/12/01,CALHOUN_ALL,24
2023/12/01,CONIGLIO_RN,24
2023/12/01,CPSES_UNIT1,24
2023/12/01,CSC_CSECG1_2,24
2023/12/01,HI_LONEB_RN1,24
2023/12/01,BTE_PUN1,24
2023/12/01,CPSES_UNIT2,24
2023/12/01,FAULKNER_RN,24
2023/12/01,BTE_PUN2,24
2023/12/01,FORMOSA_PUN1,24
2023/12/01,FORMOSA_PUN2,24
2023/12/01,NACPW_UNIT1,24
2023/12/01,SPTX12B_RN,24
2023/12/01,FLUVANNA_1_2,24
2023/12/01,LONEWOLF_ALL,24
2023/12/01,RAYB_G78910,24
2023/12/01,RHESS2_ESS1,24
2023/12/01,ERSL_RN,24
2023/12/01,PR_PR_ALL,24
2023/12/01,AMOCOOIL_CC1,24
2023/12/01,CALLAHA_WND1,24
2023/12/01,AMOCOOIL_CC2,24
2023/12/01,CROSSETT_ALL,24
2023/12/01,MIDWY_RN,24
2023/12/01,DECKER_GT,24
2023/12/01,CORAZON_RN,24
2023/12/01,WHITE_PT_UN1,24
2023/12/01,TYLRWIND_RN,24
2023/12/01,HYDR_ESS_RN,24
2023/12/01,RDCAN_RDCNY1,24
2023/12/01,HAYSEN3_4,24
2023/12/01,MGSES_CT123,24
2023/12/01,NOVA1SLR_ALL,24
2023/12/01,BYU_PUN1,24
2023/12/01,BYU_PUN2,24
2023/12/01,JCKCNTY2_CT3,24
2023/12/01,BYU_PUN3,24
2023/12/01,JCKCNTY2_CT4,24
2023/12/01,BYU_PUN4,24
2023/12/01,INDN_INDNNWP,24
2023/12/01,BRPANGLE_RN,24
2023/12/01,CALAVER_JTD1,24
2023/12/01,PORTSL_UNIT1,24
2023/12/01,CALAVER_JTD2,24
2023/12/01,LV5_UNIT1,24
2023/12/01,PSG_CC1,24
2023/12/01,NUE_NUECESG7,24
2023/12/01,7RNCHSLR_ALL,24
2023/12/01,CRANELL_ALL,24
2023/12/01,NUE_NUECESG8,24
2023/12/01,DOW_G37_G35,24
2023/12/01,NUE_NUECESG9,24
2023/12/01,SIL_SILAS_6,24
2023/12/01,BRAUNIG_CC1,24
2023/12/01,WHCCS_CT2,24
2023/12/01,WFCOGEN_CC1,24
2023/12/01,SIL_SILAS_9,24
2023/12/01,GALO_RN1,24
2023/12/01,TEN_CC1,24
2023/12/01,WEC_WECG1,24
2023/12/01,IN_INDNENR_2,24
2023/12/01,DECKER_DPG2,24
2023/12/01,IMP_RN1,24
2023/12/01,NF_BRP_RN,24
2023/12/01,TGCCS_CC1,24
2023/12/01,MIAM1_G1_G2,24
2023/12/01,JACKCNTY_CC1,24
2023/12/01,HB_HUBAVG,24
2023/12/01,NBOHR_RN,24
2023/12/01,MNWL_BESS_RN,24
2023/12/01,AZ_ALL,24
2023/12/01,VISION_RN,24
2023/12/01,GARC_BESS_RN,24
2023/12/01,CHALUP_ALL,24
2023/12/01,LACY_CRK_ALL,24
2023/12/01,CAL_CALGT1,24
2023/12/01,AVIAT_ALL,24
2023/12/01,TKWSW_CHAMP,24
2023/12/01,MAR_MARSFOG1,24
2023/12/01,JUNO_ALL,24
2023/12/01,FOXTROT_ALL,24
2023/12/01,PC_SOUTH_ALL,24
2023/12/01,MAR_MARSFOG2,24
2023/12/01,MAR_MARSFOG3,24
2023/12/01,SHEEPCRK_1,24
2023/12/01,SPARTA_ALL,24
2023/12/01,BLSMT1_5_A_6,24
2023/12/01,PAP1_PAP1,24
2023/12/01,SLCN_ESS_ALL,24
2023/12/01,SHANNONW_RN,24
2023/12/01,SC2SES_UNIT1,24
2023/12/01,HWF_HWFG1,24
2023/12/01,EBELLS_UNIT1,24
