DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/14/2023,01:00,7RNCHSLR_ALL, 13.1,N
12/14/2023,01:00,AEEC, 11.38,N
12/14/2023,01:00,AGUAYO_UNIT1, 13.57,N
12/14/2023,01:00,AJAXWIND_RN, 12.49,N
12/14/2023,01:00,ALGOD_ALL_RN, 5.6,N
12/14/2023,01:00,ALVIN_RN, 13.15,N
12/14/2023,01:00,AMADEUS_ALL, 12.21,N
12/14/2023,01:00,AMISTAD_ALL, 25.19,N
12/14/2023,01:00,AMOCOOIL_CC1, 13.17,N
12/14/2023,01:00,AMOCOOIL_CC2, 13.17,N
12/14/2023,01:00,AMOCO_PUN1, 13.17,N
12/14/2023,01:00,AMOCO_PUN2, 13.17,N
12/14/2023,01:00,AMO_AMOCO_1, 13.17,N
12/14/2023,01:00,AMO_AMOCO_2, 13.17,N
12/14/2023,01:00,AMO_AMOCO_5, 13.17,N
12/14/2023,01:00,AMO_AMOCO_G1, 13.17,N
12/14/2023,01:00,AMO_AMOCO_G2, 13.17,N
12/14/2023,01:00,AMO_AMOCO_G3, 13.17,N
12/14/2023,01:00,AMO_AMOCO_S1, 13.17,N
12/14/2023,01:00,AMO_AMOCO_S2, 13.17,N
12/14/2023,01:00,ANACACHO_ANA, 22.85,N
12/14/2023,01:00,ANCHOR_ALL, 12.62,N
12/14/2023,01:00,ANDMDSLR_ALL, 12.14,N
12/14/2023,01:00,ANG_ALL, 14.24,N
12/14/2023,01:00,ANSON1_ALL, 12.25,N
12/14/2023,01:00,APPALOSA_ALL, 21.45,N
12/14/2023,01:00,AQUI_ALL, 13.02,N
12/14/2023,01:00,ARAGORN_RN, 23.55,N
12/14/2023,01:00,ASTRA_RN, 10.84,N
12/14/2023,01:00,ATK_ATKINSG7, 13.16,N
12/14/2023,01:00,AUSTPL_ALL, 13.62,N
12/14/2023,01:00,AVIAT_ALL, 14.06,N
12/14/2023,01:00,AZURE_RN, 12.35,N
12/14/2023,01:00,AZ_ALL, 13.14,N
12/14/2023,01:00,BAC_RN_ALL, 13.17,N
12/14/2023,01:00,BAFFIN_ALL, 4.04,N
12/14/2023,01:00,BAIRDWND_ALL, 12.48,N
12/14/2023,01:00,BARROW_ALL, 32.25,N
12/14/2023,01:00,BASTEN_CC1, 13.6,N
12/14/2023,01:00,BASTEN_CCU, 13.6,N
12/14/2023,01:00,BATCAVE_RN, 14.17,N
12/14/2023,01:00,BAYC_BESS_RN, 18.74,N
12/14/2023,01:00,BBREEZE_1_2, 2.95,N
12/14/2023,01:00,BCATWD_WD_1, 13.99,N
12/14/2023,01:00,BCH_RN, 13.55,N
12/14/2023,01:00,BCK_RN, 13.14,N
12/14/2023,01:00,BIGSTAR_ALL, 13.54,N
12/14/2023,01:00,BLACKJAK_RN, 6.11,N
12/14/2023,01:00,BLSMT1_5_A_6, 12.36,N
12/14/2023,01:00,BLUEJAY_RN, 13.15,N
12/14/2023,01:00,BOARDCRK_ALL, 12.99,N
12/14/2023,01:00,BOOTLEG_UN1, 21.17,N
12/14/2023,01:00,BORDAS_345, -7.22,N
12/14/2023,01:00,BOSQUESW_CC1, 13.14,N
12/14/2023,01:00,BOSQUESW_CC2, 13.15,N
12/14/2023,01:00,BOSQ_BSQSU_5, 13.15,N
12/14/2023,01:00,BOSQ_BSQS_12, 13.15,N
12/14/2023,01:00,BOSQ_BSQS_34, 13.14,N
12/14/2023,01:00,BRANDON_RN, 11.04,N
12/14/2023,01:00,BRAUNIG_CC1, 14.15,N
12/14/2023,01:00,BRAUNIG_VHB1, 13.98,N
12/14/2023,01:00,BRAUNIG_VHB2, 13.98,N
12/14/2023,01:00,BRAUNIG_VHB3, 14.19,N
12/14/2023,01:00,BRAZ_WND_ALL, 12.46,N
12/14/2023,01:00,BRA_AVR1_CT2, 14.15,N
12/14/2023,01:00,BRA_AVR_CST1, 14.15,N
12/14/2023,01:00,BRHEIGHT_RN, 13.17,N
12/14/2023,01:00,BRIGHTSD_RN, 9.69,N
12/14/2023,01:00,BRIGHTSD_U1, 9.79,N
12/14/2023,01:00,BRISCOE_WIND, 10.94,N
12/14/2023,01:00,BRPANGLE_RN, 14.14,N
12/14/2023,01:00,BRPMAGNO_RN, 13.16,N
12/14/2023,01:00,BRP_BRAZ_RN, 14.14,N
12/14/2023,01:00,BRP_DIKN_RN, 13.17,N
12/14/2023,01:00,BRP_LOOP_RN, 9.84,N
12/14/2023,01:00,BRP_LOP1_RN, 1.69,N
12/14/2023,01:00,BRP_PBL1_RN, 34.24,N
12/14/2023,01:00,BRP_PBL2_RN, 34.23,N
12/14/2023,01:00,BRP_RN_UNIT1, 14.27,N
12/14/2023,01:00,BRP_SEMI_RN, 13.16,N
12/14/2023,01:00,BRP_SWNY_RN, 14.14,N
12/14/2023,01:00,BRP_ZPT1_RN, 0.77,N
12/14/2023,01:00,BRP_ZPT2_RN, 1.27,N
12/14/2023,01:00,BRTSW_BCW1, 13.13,N
12/14/2023,01:00,BR_ARROW_ALL, 12.92,N
12/14/2023,01:00,BR_VHB6CT5_6, 13.98,N
12/14/2023,01:00,BR_VHB6CT7_8, 13.98,N
12/14/2023,01:00,BSS_U1, 14.14,N
12/14/2023,01:00,BTE_BTE_G1, 13.01,N
12/14/2023,01:00,BTE_BTE_G2, 13.01,N
12/14/2023,01:00,BTE_BTE_G3, 13.01,N
12/14/2023,01:00,BTE_BTE_G4, 13.01,N
12/14/2023,01:00,BTE_CC1, 13.01,N
12/14/2023,01:00,BTE_PUN1, 13.01,N
12/14/2023,01:00,BTE_PUN2, 13.16,N
12/14/2023,01:00,BTM_ALL, 13.49,N
12/14/2023,01:00,BUCHAN_ALL, 13.84,N
12/14/2023,01:00,BUCKTHRN_RN, 13.13,N
12/14/2023,01:00,BUFF_GAP_ALL, 13.56,N
12/14/2023,01:00,BULLCRK_1_2, 5.06,N
12/14/2023,01:00,BVE_CC1, 13.16,N
12/14/2023,01:00,BVE_UNIT1, 13.16,N
12/14/2023,01:00,BVE_UNIT2, 13.16,N
12/14/2023,01:00,BVE_UNIT3, 13.16,N
12/14/2023,01:00,BYRDR_ES_ALL, 14.14,N
12/14/2023,01:00,BYU_BYU_1, 13.18,N
12/14/2023,01:00,BYU_BYU_12, 13.18,N
12/14/2023,01:00,BYU_BYU_34, 13.18,N
12/14/2023,01:00,BYU_BYU_G8, 13.18,N
12/14/2023,01:00,BYU_CC1, 13.18,N
12/14/2023,01:00,BYU_G4_RN, 13.18,N
12/14/2023,01:00,BYU_PUN1, 13.18,N
12/14/2023,01:00,BYU_PUN2, 13.18,N
12/14/2023,01:00,BYU_PUN3, 13.18,N
12/14/2023,01:00,BYU_PUN4, 13.18,N
12/14/2023,01:00,B_DAVIS_3, 5.33,N
12/14/2023,01:00,B_DAVIS_4, 5.33,N
12/14/2023,01:00,B_DAVIS_CC1, 5.33,N
12/14/2023,01:00,B_D_B_DAVIG1, 5.33,N
12/14/2023,01:00,B_D_B_DAVIG2, 5.33,N
12/14/2023,01:00,CABEZON_ALL, -2.91,N
12/14/2023,01:00,CALAVER_JKS1, 14.12,N
12/14/2023,01:00,CALAVER_JKS2, 14.12,N
12/14/2023,01:00,CALAVER_JTD1, 14.13,N
12/14/2023,01:00,CALAVER_JTD2, 14.13,N
12/14/2023,01:00,CALAVER_OWS1, 14.01,N
12/14/2023,01:00,CALAVER_OWS2, 14.08,N
12/14/2023,01:00,CALHOUN_ALL, 9.6,N
12/14/2023,01:00,CALLAHA_WND1, 13.45,N
12/14/2023,01:00,CAL_CALGT1, 13.16,N
12/14/2023,01:00,CAL_CALSTG1, 13.16,N
12/14/2023,01:00,CAL_CC1, 13.16,N
12/14/2023,01:00,CAL_PUN1, 13.16,N
12/14/2023,01:00,CAL_PUN2, 13.16,N
12/14/2023,01:00,CAMWIND_RN, 1.84,N
12/14/2023,01:00,CANYONWD_ALL, 11.94,N
12/14/2023,01:00,CAPRIDG4_CR4, 14.06,N
12/14/2023,01:00,CAPRIDGE_ALL, 14.06,N
12/14/2023,01:00,CARBN_BSP_1, 14.78,N
12/14/2023,01:00,CASL_GAP_UN1, 21.5,N
12/14/2023,01:00,CATARINA_B1, 43.11,N
12/14/2023,01:00,CBECII_1, 13.11,N
12/14/2023,01:00,CBECII_2, 13.11,N
12/14/2023,01:00,CBECII_89, 13.11,N
12/14/2023,01:00,CBECII_CC3, 13.11,N
12/14/2023,01:00,CBECII_CT7, 13.11,N
12/14/2023,01:00,CBEC_ALL, 12.9,N
12/14/2023,01:00,CBEC_CC1, 12.9,N
12/14/2023,01:00,CBEC_CC2, 12.9,N
12/14/2023,01:00,CBY4_ALL, 13.01,N
12/14/2023,01:00,CBY4_CC1, 13.01,N
12/14/2023,01:00,CBY_CBY_G1, 13.21,N
12/14/2023,01:00,CBY_CBY_G2, 13.09,N
12/14/2023,01:00,CCEC_CC1, 5.43,N
12/14/2023,01:00,CCEC_GT1, 5.43,N
12/14/2023,01:00,CCEC_GT2, 5.43,N
12/14/2023,01:00,CCEC_PUN1, 5.43,N
12/14/2023,01:00,CCEC_PUN2, 5.43,N
