DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
12/29/2023,01:00,7RNCHSLR_ALL, 23.37,N
12/29/2023,01:00,AEEC, 22.28,N
12/29/2023,01:00,AGUAYO_UNIT1, 22.28,N
12/29/2023,01:00,AJAXWIND_RN, 21.99,N
12/29/2023,01:00,ALGOD_ALL_RN, 23.46,N
12/29/2023,01:00,ALVIN_RN, 23.04,N
12/29/2023,01:00,AMADEUS_ALL, 22.28,N
12/29/2023,01:00,AMISTAD_ALL, 85.01,N
12/29/2023,01:00,AMOCOOIL_CC1, 23.02,N
12/29/2023,01:00,AMOCOOIL_CC2, 23.02,N
12/29/2023,01:00,AMOCO_PUN1, 23.02,N
12/29/2023,01:00,AMOCO_PUN2, 23.02,N
12/29/2023,01:00,AMO_AMOCO_1, 23.02,N
12/29/2023,01:00,AMO_AMOCO_2, 23.02,N
12/29/2023,01:00,AMO_AMOCO_5, 23.02,N
12/29/2023,01:00,AMO_AMOCO_G1, 23.02,N
12/29/2023,01:00,AMO_AMOCO_G2, 23.02,N
12/29/2023,01:00,AMO_AMOCO_G3, 23.02,N
12/29/2023,01:00,AMO_AMOCO_S1, 23.02,N
12/29/2023,01:00,AMO_AMOCO_S2, 23.02,N
12/29/2023,01:00,ANACACHO_ANA, 30.44,N
12/29/2023,01:00,ANCHOR_ALL, 22.16,N
12/29/2023,01:00,ANDMDSLR_ALL, 22.36,N
12/29/2023,01:00,ANG_ALL, 21.65,N
12/29/2023,01:00,ANSON1_ALL, 21.74,N
12/29/2023,01:00,APPALOSA_ALL, 160.69,N
12/29/2023,01:00,AQUI_ALL, 22.48,N
12/29/2023,01:00,ARAGORN_RN, 57.39,N
12/29/2023,01:00,ASTRA_RN, 22.21,N
12/29/2023,01:00,ATK_ATKINSG7, 22.77,N
12/29/2023,01:00,AUSTPL_ALL, 23.34,N
12/29/2023,01:00,AVIAT_ALL, 30.82,N
12/29/2023,01:00,AZURE_RN, 22.14,N
12/29/2023,01:00,AZ_ALL, 22.98,N
12/29/2023,01:00,BAC_RN_ALL, 23.02,N
12/29/2023,01:00,BAFFIN_ALL, 23.01,N
12/29/2023,01:00,BAIRDWND_ALL, 22.06,N
12/29/2023,01:00,BARROW_ALL, 52.28,N
12/29/2023,01:00,BASTEN_CC1, 23.37,N
12/29/2023,01:00,BASTEN_CCU, 23.37,N
12/29/2023,01:00,BATCAVE_RN, 23.65,N
12/29/2023,01:00,BAYC_BESS_RN, 23.28,N
12/29/2023,01:00,BBREEZE_1_2, 22.68,N
12/29/2023,01:00,BCATWD_WD_1, 22.03,N
12/29/2023,01:00,BCH_RN, 23.07,N
12/29/2023,01:00,BCK_RN, 23.09,N
12/29/2023,01:00,BIGSTAR_ALL, 23.38,N
12/29/2023,01:00,BLACKJAK_RN, 23.47,N
12/29/2023,01:00,BLSMT1_5_A_6, 22.07,N
12/29/2023,01:00,BLUEJAY_RN, 22.77,N
12/29/2023,01:00,BOARDCRK_ALL, 22.46,N
12/29/2023,01:00,BOOTLEG_UN1, 64.7,N
12/29/2023,01:00,BORDAS_345, 21.47,N
12/29/2023,01:00,BOSQUESW_CC1, 22.53,N
12/29/2023,01:00,BOSQUESW_CC2, 22.56,N
12/29/2023,01:00,BOSQ_BSQSU_5, 22.56,N
12/29/2023,01:00,BOSQ_BSQS_12, 22.56,N
12/29/2023,01:00,BOSQ_BSQS_34, 22.53,N
12/29/2023,01:00,BRANDON_RN, 82.3,N
12/29/2023,01:00,BRAUNIG_CC1, 24.06,N
12/29/2023,01:00,BRAUNIG_VHB1, 24.24,N
12/29/2023,01:00,BRAUNIG_VHB2, 24.24,N
12/29/2023,01:00,BRAUNIG_VHB3, 24.29,N
12/29/2023,01:00,BRAZ_WND_ALL, 30.94,N
12/29/2023,01:00,BRA_AVR1_CT2, 24.06,N
12/29/2023,01:00,BRA_AVR_CST1, 24.06,N
12/29/2023,01:00,BRHEIGHT_RN, 23.02,N
12/29/2023,01:00,BRIGHTSD_RN, 24.36,N
12/29/2023,01:00,BRIGHTSD_U1, 24.3,N
12/29/2023,01:00,BRISCOE_WIND, 22.21,N
12/29/2023,01:00,BRPANGLE_RN, 23.07,N
12/29/2023,01:00,BRPMAGNO_RN, 23.03,N
12/29/2023,01:00,BRP_BRAZ_RN, 23.07,N
12/29/2023,01:00,BRP_DIKN_RN, 23.02,N
12/29/2023,01:00,BRP_LOOP_RN, 23.55,N
12/29/2023,01:00,BRP_LOP1_RN, 21.74,N
12/29/2023,01:00,BRP_PBL1_RN, 58.03,N
12/29/2023,01:00,BRP_PBL2_RN, 58.03,N
12/29/2023,01:00,BRP_RN_UNIT1, 24.17,N
12/29/2023,01:00,BRP_SEMI_RN, 23.03,N
12/29/2023,01:00,BRP_SWNY_RN, 23.07,N
12/29/2023,01:00,BRP_ZPT1_RN, 21.16,N
12/29/2023,01:00,BRP_ZPT2_RN, 21.4,N
12/29/2023,01:00,BRTSW_BCW1, 22.18,N
12/29/2023,01:00,BR_ARROW_ALL, 22.25,N
12/29/2023,01:00,BR_VHB6CT5_6, 24.24,N
12/29/2023,01:00,BR_VHB6CT7_8, 24.24,N
12/29/2023,01:00,BSS_U1, 23.07,N
12/29/2023,01:00,BTE_BTE_G1, 22.97,N
12/29/2023,01:00,BTE_BTE_G2, 22.97,N
12/29/2023,01:00,BTE_BTE_G3, 22.97,N
12/29/2023,01:00,BTE_BTE_G4, 22.97,N
12/29/2023,01:00,BTE_CC1, 22.97,N
12/29/2023,01:00,BTE_PUN1, 22.97,N
12/29/2023,01:00,BTE_PUN2, 22.97,N
12/29/2023,01:00,BTM_ALL, 23.06,N
12/29/2023,01:00,BUCHAN_ALL, 23.36,N
12/29/2023,01:00,BUCKTHRN_RN, 22.35,N
12/29/2023,01:00,BUFF_GAP_ALL, 21.19,N
12/29/2023,01:00,BULLCRK_1_2, 29.76,N
12/29/2023,01:00,BVE_CC1, 23.04,N
12/29/2023,01:00,BVE_UNIT1, 23.04,N
12/29/2023,01:00,BVE_UNIT2, 23.04,N
12/29/2023,01:00,BVE_UNIT3, 23.04,N
12/29/2023,01:00,BYRDR_ES_ALL, 23.07,N
12/29/2023,01:00,BYU_BYU_1, 23,N
12/29/2023,01:00,BYU_BYU_12, 23,N
12/29/2023,01:00,BYU_BYU_34, 23,N
12/29/2023,01:00,BYU_BYU_G8, 23,N
12/29/2023,01:00,BYU_CC1, 23,N
12/29/2023,01:00,BYU_G4_RN, 23,N
12/29/2023,01:00,BYU_PUN1, 23,N
12/29/2023,01:00,BYU_PUN2, 23,N
12/29/2023,01:00,BYU_PUN3, 23,N
12/29/2023,01:00,BYU_PUN4, 23,N
12/29/2023,01:00,B_DAVIS_3, 23.3,N
12/29/2023,01:00,B_DAVIS_4, 23.3,N
12/29/2023,01:00,B_DAVIS_CC1, 23.3,N
12/29/2023,01:00,B_D_B_DAVIG1, 23.3,N
12/29/2023,01:00,B_D_B_DAVIG2, 23.3,N
12/29/2023,01:00,CABEZON_ALL, 22.37,N
12/29/2023,01:00,CALAVER_JKS1, 24.02,N
12/29/2023,01:00,CALAVER_JKS2, 24.02,N
12/29/2023,01:00,CALAVER_JTD1, 24.2,N
12/29/2023,01:00,CALAVER_JTD2, 24.2,N
12/29/2023,01:00,CALAVER_OWS1, 24.23,N
12/29/2023,01:00,CALAVER_OWS2, 24.21,N
12/29/2023,01:00,CALHOUN_ALL, 23.47,N
12/29/2023,01:00,CALLAHA_WND1, 23.9,N
12/29/2023,01:00,CAL_CALGT1, 22.98,N
12/29/2023,01:00,CAL_CALSTG1, 22.98,N
12/29/2023,01:00,CAL_CC1, 22.98,N
12/29/2023,01:00,CAL_PUN1, 22.98,N
12/29/2023,01:00,CAL_PUN2, 22.98,N
12/29/2023,01:00,CAMWIND_RN, 17.68,N
12/29/2023,01:00,CANYONWD_ALL, 21.2,N
12/29/2023,01:00,CAPRIDG4_CR4, 30.82,N
12/29/2023,01:00,CAPRIDGE_ALL, 30.82,N
12/29/2023,01:00,CARBN_BSP_1, 42.95,N
12/29/2023,01:00,CASL_GAP_UN1, 71.87,N
12/29/2023,01:00,CATARINA_B1, 48.6,N
12/29/2023,01:00,CBECII_1, 23.13,N
12/29/2023,01:00,CBECII_2, 23.13,N
12/29/2023,01:00,CBECII_89, 23.13,N
12/29/2023,01:00,CBECII_CC3, 23.13,N
12/29/2023,01:00,CBECII_CT7, 23.13,N
12/29/2023,01:00,CBEC_ALL, 23.13,N
12/29/2023,01:00,CBEC_CC1, 23.13,N
12/29/2023,01:00,CBEC_CC2, 23.13,N
12/29/2023,01:00,CBY4_ALL, 22.97,N
12/29/2023,01:00,CBY4_CC1, 22.97,N
12/29/2023,01:00,CBY_CBY_G1, 22.97,N
12/29/2023,01:00,CBY_CBY_G2, 22.98,N
12/29/2023,01:00,CCEC_CC1, 23.32,N
12/29/2023,01:00,CCEC_GT1, 23.32,N
12/29/2023,01:00,CCEC_GT2, 23.32,N
12/29/2023,01:00,CCEC_PUN1, 23.32,N
12/29/2023,01:00,CCEC_PUN2, 23.32,N
12/29/2023,01:00,CCEC_ST1, 23.32,N
12/29/2023,01:00,CEDROHI_CHW1, 20.83,N
12/29/2023,01:00,CEDRVALE_RN, 58.21,N
12/29/2023,01:00,CFLATS_UNIT, 26.99,N
12/29/2023,01:00,CHALUP_ALL, 17.69,N
12/29/2023,01:00,CHAL_SLR_RN, 57.15,N
12/29/2023,01:00,CHAMON_UN1, 22.96,N
12/29/2023,01:00,CHAMON_UN2, 22.96,N
12/29/2023,01:00,CHEDPW_GT2, 22.95,N
12/29/2023,01:00,CHE_CC1, 22.95,N
12/29/2023,01:00,CHE_LYD, 22.96,N
12/29/2023,01:00,CHE_LYD2, 22.96,N
12/29/2023,01:00,CHE_PUN1, 22.96,N
12/29/2023,01:00,CHE_PUN2, 22.96,N
12/29/2023,01:00,CHISMGRD_RN, 22.13,N
12/29/2023,01:00,CISC_RN, 23.36,N
12/29/2023,01:00,CITYVICT_ALL, 23.55,N
12/29/2023,01:00,CN_BRKS_UNT1, 22.21,N
12/29/2023,01:00,COL_COLETOG1, 23.68,N
12/29/2023,01:00,CONIGLIO_RN, 22.24,N
12/29/2023,01:00,CONTINEN_RN, 17.15,N
12/29/2023,01:00,CORALSLR_ALL, 22.62,N
12/29/2023,01:00,CORAZON_RN, 21.33,N
12/29/2023,01:00,COTPLNS_RN, 22.25,N
12/29/2023,01:00,COTTON_PAP2, 23.34,N
12/29/2023,01:00,COYOTSPR_RN, 58.45,N
12/29/2023,01:00,CPSES_UNIT1, 22.16,N
12/29/2023,01:00,CPSES_UNIT2, 22.16,N
12/29/2023,01:00,CRANELL_ALL, 23.47,N
12/29/2023,01:00,CROSSETT_ALL, 68.57,N
12/29/2023,01:00,CRWN_SLR_UN1, 22.68,N
12/29/2023,01:00,CSC_CSECG1_2, 29.8,N
12/29/2023,01:00,CVC_CC1, 22.95,N
12/29/2023,01:00,CVC_CVCG1_5, 22.95,N
12/29/2023,01:00,CVC_CVC_G2, 22.95,N
12/29/2023,01:00,CVC_CVC_G3, 22.95,N
12/29/2023,01:00,DAG_ALL, 23.08,N
12/29/2023,01:00,DANSBY_ALL, 22.77,N
12/29/2023,01:00,DAN_ALL, 23.19,N
12/29/2023,01:00,DA_BESS, 23.06,N
12/29/2023,01:00,DC2SES_ALL, 22.21,N
12/29/2023,01:00,DC_E, 22.25,N
12/29/2023,01:00,DC_L, 20.79,N
12/29/2023,01:00,DC_N, 22.06,N
12/29/2023,01:00,DC_R, 17.46,N
12/29/2023,01:00,DDPEC_CC1, 22.99,N
12/29/2023,01:00,DDPEC_GT1, 22.99,N
12/29/2023,01:00,DDPEC_GT2, 22.99,N
12/29/2023,01:00,DDPEC_GT3, 22.99,N
